name,property_type,room_type,bedrooms,beds,bed_type,bathrooms,minimum_nights,maximum_nights,cancellation_policy,price,security_deposit,cleaning_fee,extra_people,guests_included,street,sub_urban,government_area,country_code,market,latitude,longitude,host_id,host_name,host_location,host_neighbourhood,host_identity_verified,host_is_superhost,host_response_rate,avilability_30,avilability_60,avilability_90,avilability_365,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_scores_rating,total_reviews
2294 - AB Aragó Apartment 2-C - Central Apartment with a Communal Terrace in Eixample,Apartment,Entire home/apt,2.0,5,Real Bed,2.0,2,330,moderate,500.0,150.0,110.0,0,6,"BARCELONA, city, Spain",La Nova Esquerra de l'Eixample,l'Antiga Esquerra de l'Eixample,ES,Barcelona,41.3856,2.15576,4459553,Eva&Jacques,"Barcelona, Catalonia, Spain",La Nova Esquerra de l'Eixample,no,no,99.0,17,47,77,352,9,8,9,9,9,8,81,11994
Brownstone with farmhouse charm,Apartment,Entire home/apt,1.0,1,Real Bed,1.0,4,1125,strict_14_with_grace_period,90.0,0.0,45.0,25,2,"Brooklyn, NY, United States",Brooklyn,Crown Heights,US,New York,40.67438,-73.94071,20378750,Corinne,"New York, New York, United States",Crown Heights,no,no,100.0,7,7,9,9,10,10,10,10,9,10,93,3074
AP No RIO2,Apartment,Entire home/apt,1.0,2,Real Bed,2.0,1,1109,flexible,1999.0,0.0,0.0,0,1,"Rio de Janeiro, RJ, Brazil",Barra da Tijuca,Jacarepaguá,BR,Rio De Janeiro,-22.967550163112072,-43.386025806121175,121258236,Felipe,,-,no,no,0.0,30,60,90,365,not_available,not_available,not_available,not_available,not_available,not_available,not_available,2
BONDI BEACH APARTMENT - SEA VIEWS,Apartment,Entire home/apt,2.0,2,Real Bed,1.0,2,1125,flexible,181.0,0.0,0.0,0,1,"Bondi Beach, NSW, Australia",Bondi,Waverley,AU,Sydney,-33.8957,151.27108,105498218,James,"New South Wales, Australia",Bondi,no,no,0.0,0,0,0,0,10,10,10,10,10,10,100,180
Convenient located one bedroom unit,Apartment,Entire home/apt,1.0,1,Real Bed,1.0,2,25,moderate,97.0,200.0,20.0,0,1,"Redfern, NSW, Australia",Redfern,Sydney,AU,Sydney,-33.89304,151.20201,121610275,Agnes,Australia,Redfern,no,no,100.0,20,26,26,26,10,10,10,10,10,9,96,5275
ALUGO APARTAMENTO POR MÍNIMO 3 DIAS,Apartment,Entire home/apt,2.0,3,Real Bed,1.0,3,15,flexible,172.0,0.0,0.0,0,1,"Rio de Janeiro, Rio de Janeiro, Brazil",Santa Teresa,Santa Teresa,BR,Rio De Janeiro,-22.915303227027348,-43.18334268601122,121660319,Nilza,"Rio de Janeiro, State of Rio de Janeiro, Brazil",-,no,no,100.0,24,54,84,84,10,9,10,9,9,10,93,2468
Cozy & convenient 3 bedroom w/ gym *Crown Heights*,Apartment,Entire home/apt,3.0,4,Real Bed,1.0,14,1125,strict_14_with_grace_period,125.0,300.0,100.0,5,2,"Brooklyn, NY, United States",Brooklyn,Crown Heights,US,New York,40.66503,-73.95028,1247267,Eileen,"New York, New York, United States",Crown Heights,yes,yes,0.0,0,0,0,0,9,10,10,10,10,10,100,1256
ATAŞEHİR VARYAP MERİDİAN 50. KAT MANZARALI SUITE,Serviced apartment,Entire home/apt,0.0,2,Real Bed,1.0,1,1125,strict_14_with_grace_period,269.0,0.0,48.0,89,2,"Ataşehir, İstanbul, Turkey",,Atasehir,TR,Istanbul,41.0009,29.10406,107684831,Emre,"Istanbul, İstanbul, Turkey",-,no,no,98.0,28,58,88,363,10,9,10,10,10,9,95,13872
Outstanding Glebe Apartment,Apartment,Entire home/apt,1.0,2,Real Bed,1.0,1,1120,strict_14_with_grace_period,135.0,250.0,85.0,15,2,"Glebe, NSW, Australia",Glebe,Sydney,AU,Sydney,-33.87946,151.19174,3609508,Elise,"Sydney, New South Wales, Australia",Darlinghurst,no,no,100.0,19,49,79,80,9,10,10,10,9,9,88,35930
Free Parking! North Star Flats@Ribeira & Cellars 1,Apartment,Entire home/apt,1.0,4,Real Bed,1.0,2,1125,strict_14_with_grace_period,45.0,0.0,25.0,10,2,"Vila Nova de Gaia, Porto, Portugal",,Santa Marinha e São Pedro da Afurada,PT,Porto,41.1375,-8.61351,65558390,Maria Fernando,"Porto, Porto District, Portugal",-,yes,yes,100.0,21,45,64,296,10,10,10,10,10,10,99,42712
Bright and quiet bedroom - heart of Mile End,Apartment,Private room,1.0,1,Real Bed,1.0,1,30,moderate,44.0,0.0,22.0,12,1,"Montréal, Québec, Canada",Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,CA,Montreal,45.52042,-73.5954,7613281,Fanny,"Montreal, Québec, Canada",Mile End,yes,yes,100.0,0,0,0,0,10,10,10,10,10,10,99,40513
Copacabana Dream - A Tropical Vacation,Apartment,Private room,1.0,1,Real Bed,2.0,3,15,flexible,71.0,0.0,0.0,0,1,"Rio de Janeiro, State of Rio de Janeiro, Brazil",Copacabana,Copacabana,BR,Rio De Janeiro,-22.976553790512785,-43.190458778122746,77744151,Sonia Florentino,"Rio de Janeiro, State of Rio de Janeiro, Brazil",-,no,no,90.0,1,12,26,298,10,10,10,10,10,10,100,8296
Coração do Rio de Janeiro conforto,Apartment,Entire home/apt,1.0,1,Real Bed,1.0,1,1125,moderate,119.0,0.0,0.0,0,1,"Rio de Janeiro, Rio de Janeiro, Brazil",Lapa,Centro,BR,Rio De Janeiro,-22.907119954309604,-43.17465551590793,107999052,Maria De Fátima,"Rio de Janeiro, State of Rio de Janeiro, Brazil",Lapa,no,no,100.0,21,51,81,81,10,10,10,10,10,9,75,1052
"Big, bright, and beautiful bedroom!",Apartment,Private room,1.0,1,Real Bed,1.0,1,1125,flexible,100.0,0.0,0.0,0,1,"Brooklyn, NY, United States",Brooklyn,Bedford-Stuyvesant,US,New York,40.68171,-73.92628,32380983,Ryann,US,Bedford-Stuyvesant,no,no,100.0,2,2,2,189,not_available,not_available,not_available,not_available,not_available,not_available,not_available,2
Affordable Guest Room,Boutique hotel,Private room,1.0,1,Real Bed,3.5,3,30,strict_14_with_grace_period,166.0,100.0,40.0,0,1,"Haleiwa, HI, United States",Oʻahu,North Shore Oahu,US,Oahu,21.6681,-158.04346,2874260,Maria,"On the ""7 miles miracle"" known as the North Shore of Oah'u, Hawaii.",North Shore,no,yes,91.0,30,60,90,240,10,10,10,10,10,10,100,251
Rosemont :) Big Cozy Room,Condominium,Private room,1.0,1,Real Bed,1.0,2,1125,moderate,36.0,0.0,0.0,20,1,"Montréal, QC, Canada",La Petite-Patrie,Rosemont-La Petite-Patrie,CA,Montreal,45.54516,-73.58724,5846872,Dominic,"Montreal, Quebec, Canada",La Petite-Patrie,no,yes,100.0,14,28,41,221,10,10,10,10,9,10,99,12614
Gorgeous Boutique Hotel Room in Taksim #8,Boutique hotel,Private room,1.0,1,Real Bed,1.0,2,1125,flexible,179.0,0.0,36.0,0,1,"Beyoğlu, İstanbul, Turkey",Şişli,Sisli,TR,Istanbul,41.04177,28.98641,4604908,Savas,Istanbul,Sultanahmet,no,no,100.0,27,41,71,346,10,10,10,10,10,10,100,245
Elegant quiet luxury home at Bondi,House,Entire home/apt,4.0,4,Real Bed,3.0,5,21,strict_14_with_grace_period,695.0,2000.0,180.0,0,1,"Bondi, NSW, Australia",Bondi,Waverley,AU,Sydney,-33.89488,151.26359,9391659,Jessica,"Bondi, New South Wales, Australia",Bondi,yes,no,0.0,21,51,81,356,10,10,10,10,10,10,96,2738
"Newtown: comfort, character and charm",House,Private room,1.0,1,Real Bed,1.0,1,1125,strict_14_with_grace_period,65.0,0.0,0.0,0,1,"Newtown, NSW, Australia",Newtown/Enmore,Marrickville,AU,Sydney,-33.90528,151.17845,112176055,Matt,"Newtown, New South Wales, Australia",Newtown/Enmore,yes,no,0.0,0,0,0,0,10,10,10,10,10,10,100,1360
Friendly & Conveniently Home at Bondi Junction,House,Private room,1.0,1,Real Bed,1.0,2,30,moderate,58.0,150.0,30.0,25,1,"Bondi Junction, NSW, Australia",Bondi Junction,Waverley,AU,Sydney,-33.89401,151.24273,4394372,Allen,"New South Wales, Australia",Bondi Junction,yes,no,100.0,0,0,0,0,9,10,10,10,9,9,86,8615
Apartment next to Las Ramblas and Paral·lel,Apartment,Entire home/apt,3.0,4,Real Bed,1.0,1,1125,strict_14_with_grace_period,60.0,150.0,40.0,27,2,"Barcelona, Catalunya, Spain",Eixample,Sant Antoni,ES,Barcelona,41.37671,2.16481,71615,Mireia And Maria,"Barcelona, Cataluña, Spain",El Camp de l'Arpa del Clot,yes,no,99.0,17,33,58,289,9,9,9,9,9,8,89,2
St Hubert street luxury 2 bedroom dream Loft,House,Entire home/apt,2.0,2,Real Bed,1.0,1,365,strict_14_with_grace_period,199.0,300.0,80.0,50,4,"Montréal, Québec, Canada",Rosemont-La Petite-Patrie,Rosemont-La Petite-Patrie,CA,Montreal,45.53488,-73.60038,7399480,Doris Mel,"Côte Saint-Luc, Quebec, Canada",La Petite-Patrie,no,no,94.0,17,47,75,330,10,10,9,9,10,9,92,60752
Manhattan Cozy Room by Columbia Uni,Apartment,Private room,1.0,1,Real Bed,1.0,2,1125,strict_14_with_grace_period,53.0,0.0,50.0,25,1,"New York, NY, United States",Harlem,Harlem,US,New York,40.80213,-73.94754,859218,Marina,"New York, New York, United States",Harlem,no,no,85.0,2,26,27,291,9,9,9,9,9,9,88,33802
Luxurious Granny Flat. Bella Vista,House,Entire home/apt,2.0,3,Real Bed,1.0,1,1125,moderate,161.0,150.0,20.0,20,1,"Bella Vista, NSW, Australia",,The Hills Shire,AU,Sydney,-33.75052,150.95948,113299534,Ali,"Sydney, New South Wales, Australia",-,yes,no,100.0,19,41,69,242,10,9,10,10,9,9,95,44846
"Downtown Apart, Heart of the city!",Apartment,Entire home/apt,2.0,2,Real Bed,1.0,3,150,strict_14_with_grace_period,130.0,500.0,20.0,0,1,"Montreal, QC, Canada",Downtown Montreal,Ville-Marie,CA,Montreal,45.49127,-73.58207,6608362,Jad,"Geneva, Canton of Geneva, Switzerland",Downtown Montreal,no,no,0.0,0,0,0,0,not_available,not_available,not_available,not_available,not_available,not_available,not_available,2
Cosy single room en el Raval,Apartment,Private room,1.0,1,Real Bed,1.0,3,6,flexible,20.0,0.0,9.0,0,1,"Barcelona, Catalunya, Spain",Ciutat Vella,el Raval,ES,Barcelona,41.38154,2.16653,123172101,Carla,"Barcelona, Catalonia, Spain",-,no,no,100.0,5,5,5,5,10,10,10,10,10,10,96,2
Magic Escape Apartments 3 - Douro River Views,Apartment,Entire home/apt,2.0,4,Real Bed,2.0,2,1125,moderate,85.0,200.0,20.0,15,4,"Vila Nova de Gaia, Porto, Portugal",,Santa Marinha e São Pedro da Afurada,PT,Porto,41.13667,-8.61047,123280478,Diogo,"Vila Nova de Gaia, Porto District, Portugal",-,no,yes,100.0,20,47,71,314,10,10,10,10,10,10,100,49456
Quiet space for one,House,Private room,1.0,1,Real Bed,1.0,3,28,flexible,47.0,0.0,16.0,22,1,"Rouse Hill, NSW, Australia",,The Hills Shire,AU,Sydney,-33.67463,150.92501,25869976,Helen,"Rouse Hill, New South Wales, Australia",-,yes,yes,100.0,19,45,75,166,10,10,10,10,10,10,100,2379
Adorable Garden Gingerbread House,Cottage,Entire home/apt,0.0,1,Real Bed,1.0,3,365,strict_14_with_grace_period,175.0,200.0,125.0,35,3,"Makawao, HI, United States",Upcountry,Paia-Haiku,US,Maui,20.86967,-156.31183,3280543,Eve,"Makawao, Hawaii, United States",Makawao,yes,yes,100.0,3,5,11,160,10,10,10,10,10,9,97,163497
Triple Room  - Ocean's 7 Hotel,Apartment,Private room,1.0,3,Real Bed,1.0,2,1125,moderate,148.0,0.0,0.0,0,1,"Fatih, İstanbul, Turkey",Fatih,Fatih,TR,Istanbul,41.00318,28.97887,110791987,Dilnozakhon,TR,Sultanahmet,no,no,0.0,28,58,88,284,not_available,not_available,not_available,not_available,not_available,not_available,not_available,254
STUDIO IN COPACABANA,Apartment,Private room,1.0,1,Real Bed,1.0,1,90,strict_14_with_grace_period,93.0,0.0,100.0,50,2,"Rio de Janeiro, Rio de Janeiro, Brazil",Copacabana,Copacabana,BR,Rio De Janeiro,-22.980247516791014,-43.19289118221461,9130380,Sergio,"Rio de Janeiro, Rio de Janeiro, Brazil",Copacabana,no,yes,80.0,0,29,59,326,10,10,10,10,10,10,98,96884
地鉄上的3房2廳2卫浴住9人可月租2萬9千起,Apartment,Entire home/apt,3.0,5,Real Bed,2.0,1,1125,strict_14_with_grace_period,1484.0,0.0,200.0,100,1,"Hong Kong, Kowloon, Hong Kong",Mong Kok,Yau Tsim Mong,HK,Hong Kong,22.31377,114.16989,6070003,文文,香港,Mong Kok,yes,no,80.0,13,31,54,151,8,8,9,9,10,8,78,12056
New Furnishings! Very Private! Great Deal! GC 137,Condominium,Entire home/apt,2.0,4,Real Bed,2.0,4,1125,super_strict_60,200.0,300.0,250.0,20,4,"Kihei, HI, United States",Kihei/Wailea,Kihei-Makena,US,Maui,20.68948,-156.43694,22635145,CB Island Vacations,"Hawaii, United States",Kihei/Wailea,no,no,100.0,2,16,39,272,10,10,10,10,10,10,95,4803
Quaint Polynesian Style Cabin on a Working Farm,Cabin,Entire home/apt,1.0,1,Real Bed,1.0,2,120,strict_14_with_grace_period,60.0,500.0,55.0,10,2,"Hawi, HI, United States",North Kohala,North Kohala,US,Maui,20.24861,-155.83491,94682212,Rev. Les,"Hawi, Hawaii, United States",North Kohala,no,no,95.0,8,19,49,324,10,10,10,10,10,10,97,24643
V3旺角地鐵公交近在咫尺/購物首選/窗戶陽光充沛/精裝修乾淨舒適雙人房,Serviced apartment,Private room,1.0,1,Real Bed,1.0,1,1125,strict_14_with_grace_period,353.0,0.0,70.0,0,1,"旺角, 旺角, Hong Kong",Yau Tsim Mong,Yau Tsim Mong,HK,Hong Kong,22.32234,114.16735,122408520,Royal,"Hong Kong, Hong Kong",Mong Kok,no,no,100.0,21,44,74,74,9,9,9,9,10,9,92,15931
Un studio full équipé,Apartment,Entire home/apt,0.0,1,Real Bed,1.0,2,3,flexible,46.0,200.0,10.0,25,1,"Montréal, QC, Canada",Saint-Leonard,Saint-Léonard,CA,Montreal,45.58961,-73.57725,123768316,Abdou,"Montreal, Québec, Canada",-,no,no,0.0,0,0,0,0,not_available,not_available,not_available,not_available,not_available,not_available,not_available,2
Apartamento T4 Praia Azul,Apartment,Entire home/apt,4.0,6,Real Bed,2.0,2,90,moderate,105.0,0.0,0.0,15,4,"Vila do Conde, Porto, Portugal",,Vila do Conde,PT,Porto,41.34642,-8.75108,123873173,Paula,"Vila do Conde, Porto District, Portugal",-,yes,no,100.0,28,51,76,293,10,10,10,10,10,10,96,3199
Cozy Studio in Wan Chai,Apartment,Entire home/apt,1.0,1,Real Bed,1.0,3,7,flexible,314.0,0.0,0.0,0,1,"Hong kong, Hong Kong Island, Hong Kong",Wan Chai,Wan Chai,HK,Hong Kong,22.2795,114.17872,31095330,Batiste,"Paris, Île-de-France, France",Wan Chai,no,no,0.0,0,0,0,0,not_available,not_available,not_available,not_available,not_available,not_available,not_available,2
Two rooms with great view sagrada familia,Apartment,Private room,2.0,2,Real Bed,1.0,3,1125,strict_14_with_grace_period,100.0,200.0,15.0,9,2,"Barcelona, Catalunya, Spain",Dreta de l'Eixample,la Dreta de l'Eixample,ES,Barcelona,41.39056,2.17074,96644578,Romina,"Barcelona, Catalonia, Spain",La Sagrada Família,no,no,100.0,7,33,59,334,8,9,8,8,10,9,80,2
Charme e conforto em Ipanema!,Apartment,Entire home/apt,2.0,2,Real Bed,1.0,2,16,strict_14_with_grace_period,134.0,800.0,180.0,0,1,"Rio de Janeiro, Rio de Janeiro, Brazil",Ipanema,Ipanema,BR,Rio De Janeiro,-22.98116265720219,-43.20303596334958,124152562,Cyro,"Rio de Janeiro, State of Rio de Janeiro, Brazil",Ipanema,no,no,40.0,19,49,79,351,10,10,10,10,10,10,99,7961
Enjoy your stay at CyrstalSilver house,House,Private room,1.0,1,Real Bed,2.0,1,1125,flexible,40.0,0.0,18.0,0,1,"Jordan Springs, NSW, Australia",,Penrith,AU,Sydney,-33.72241,150.73077,123979557,Ven,"Jordan Springs, New South Wales, Australia",-,no,yes,100.0,21,38,68,343,10,10,10,10,9,10,97,8459
YOUR SUNNY DOUBLE BEDROOM IN THE CENTER,Bed and breakfast,Private room,1.0,1,Real Bed,1.5,2,90,strict_14_with_grace_period,45.0,0.0,25.0,10,1,"Barcelona, Catalonia, Spain",Eixample,la Nova Esquerra de l'Eixample,ES,Barcelona,41.38256,2.15144,826476,Gerard,"Barcelona, Cataluña, Spain",Sants-Montjuïc,yes,no,100.0,0,5,17,281,9,9,9,9,9,9,89,22196
"Clean, Quiet, & Sunny Dancer's Apt!",Apartment,Entire home/apt,1.0,1,Real Bed,1.0,1,30,strict_14_with_grace_period,89.0,0.0,0.0,40,1,"New York, NY, United States",Inwood,Inwood,US,New York,40.86883,-73.92126,865451,Yara,"New York, New York, United States",Inwood,yes,no,50.0,30,60,90,365,9,9,10,10,9,9,97,34571
★ Amazing with terrace & wifi ★,Apartment,Entire home/apt,4.0,7,Real Bed,1.5,2,1125,moderate,100.0,150.0,55.0,20,6,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PT,Porto,41.14728,-8.60288,124399497,Rafael,"Porto, Porto District, Portugal",-,no,no,100.0,28,52,70,106,10,9,10,10,10,9,94,31389
"New 1BD Condo in Napili Ridge, Walk to Beach",Apartment,Entire home/apt,1.0,2,Real Bed,1.0,2,1125,strict_14_with_grace_period,99.0,300.0,125.0,20,2,"Lahaina, HI, United States",Westside,Lahaina,US,Maui,20.98857,-156.66917,114216441,Linda-Lee,"Hawaii, United States",Napili/Honokowai,no,yes,100.0,7,16,35,286,10,9,10,10,9,10,95,18592
Bright studio apartment close to Sydney Uni!,Apartment,Entire home/apt,0.0,0,Real Bed,1.0,2,1125,strict_14_with_grace_period,125.0,300.0,98.0,0,1,"Forest Lodge, NSW, Australia",Forest Lodge,Sydney,AU,Sydney,-33.8837,151.18425,21385139,Brock,"Sydney, New South Wales, Australia",Surry Hills,no,no,100.0,8,18,44,44,9,9,10,10,10,9,92,17860
Self contained garden/artist studio,House,Entire home/apt,1.0,1,Real Bed,1.0,2,1125,moderate,80.0,0.0,0.0,0,1,"North Willoughby, NSW, Australia",Willoughby,Willoughby,AU,Sydney,-33.79154,151.20011,26978568,Greg & Maggie,"Chatswood, New South Wales, Australia",-,no,yes,100.0,6,13,13,246,10,10,10,10,10,10,99,12273
V4旺角地鐵公交近在咫尺/乾淨舒適/精裝修/購物首選/獨立衛浴/雙人房,Serviced apartment,Private room,1.0,1,Real Bed,1.0,1,1125,strict_14_with_grace_period,338.0,0.0,70.0,0,1,"旺角, 旺角, Hong Kong",Mong Kok,Yau Tsim Mong,HK,Hong Kong,22.32124,114.16922,122408520,Royal,"Hong Kong, Hong Kong",Mong Kok,no,no,100.0,19,43,73,73,9,8,9,9,10,9,85,15315
SINGLE room (Furnished) KennedyTown (MTR ExitB),Apartment,Private room,1.0,1,Real Bed,1.5,10,1125,strict_14_with_grace_period,196.0,0.0,0.0,0,1,"Hong Kong, Hong Kong Island, Hong Kong",Kennedy Town,Central & Western,HK,Hong Kong,22.28175,114.13011,121016246,Raymond,HK,Shek Tong Tsui,no,no,100.0,9,13,43,43,10,10,10,9,10,9,90,1153
"Sao Bento Studio 1 A, Porto",Apartment,Entire home/apt,0.0,1,Real Bed,1.0,2,1125,flexible,55.0,0.0,15.0,8,2,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PT,Porto,41.14472,-8.60957,124695413,Quanjin,PT,São João,no,no,99.0,7,17,23,35,10,10,10,10,10,10,95,28763
CBD 2 Rooms Midlevel HKIsland,Apartment,Entire home/apt,2.0,2,Real Bed,1.0,2,1125,strict_14_with_grace_period,761.0,1600.0,0.0,100,4,"Hong Kong, Hong Kong Island, Hong Kong",Central & Western District,Central & Western,HK,Hong Kong,22.28256,114.15214,4319967,Zen Nicholas,SZ / HONG KONG China,Sham Shui Po,no,no,100.0,15,39,69,339,9,9,9,8,9,9,89,2534
Cozy w/ Yard & Walking Distance to Waikiki - BROC,Apartment,Entire home/apt,1.0,2,Real Bed,1.0,1,1125,strict_14_with_grace_period,110.0,0.0,125.0,0,4,"Honolulu, HI, United States",Oʻahu,Primary Urban Center,US,Oahu,21.27482,-157.8141,41950889,Claude,"Honolulu, Hawaii, United States",Diamond Head/Kapahulu/St. Louis Heights,yes,no,99.0,17,47,77,352,9,9,10,10,10,9,90,33413
Magical Hobbit Loft,Loft,Entire home/apt,1.0,1,Real Bed,1.0,3,1125,moderate,68.0,0.0,25.0,0,1,"Montréal, Québec, Canada",Le Plateau,Le Plateau-Mont-Royal,CA,Montreal,45.52331,-73.57373,14078462,Laurel,"Montreal, Quebec, Canada",Le Plateau,yes,yes,100.0,16,25,50,91,9,9,10,10,10,10,96,9312
Clean Private Room in East Village,Apartment,Private room,1.0,1,Real Bed,1.0,5,1125,moderate,100.0,0.0,15.0,15,1,"New York, NY, United States",Manhattan,East Village,US,New York,40.72177,-73.98286,24594940,Manisha,"New York, New York, United States",Alphabet City,yes,no,0.0,0,0,0,5,9,8,10,10,9,10,85,3006
Heart of the City-Cozy Room Private Sunny Balcony!,Apartment,Private room,1.0,1,Real Bed,2.0,1,1125,strict_14_with_grace_period,14.0,100.0,25.0,15,1,"Barcelona, Catalonia, Spain",Gràcia,la Vila de Gràcia,ES,Barcelona,41.39925,2.15881,124869252,Vahb,"Barcelona, Catalonia, Spain",-,no,no,100.0,19,49,79,79,9,8,10,10,10,9,91,2
Old School Hospitality,Guest suite,Entire home/apt,2.0,2,Real Bed,1.0,1,14,strict_14_with_grace_period,110.0,200.0,75.0,10,2,"Keaau, HI, United States",Island of Hawaiʻi,Puna,US,The Big Island,19.57658,-154.97636,124878127,Jim,US,Island of Hawaiʻi,no,yes,90.0,18,40,63,153,10,10,10,10,9,10,99,30350
Super clean and cosy,Apartment,Entire home/apt,2.0,2,Real Bed,2.0,3,300,strict_14_with_grace_period,129.0,1000.0,80.0,25,4,"Mascot, NSW, Australia",Mascot,Botany Bay,AU,Sydney,-33.92407,151.19107,21122092,Evan,"New South Wales, Australia",Mascot,no,yes,100.0,4,8,16,26,10,10,10,10,10,10,99,10861
Opimo,House,Entire home/apt,1.0,2,Real Bed,1.0,3,1125,strict_14_with_grace_period,21.0,0.0,23.0,0,1,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PT,Porto,41.1562,-8.61875,66449897,Maria,"Vila Nova de Gaia, Porto District, Portugal",-,no,no,100.0,0,2,20,251,9,10,9,9,9,9,89,21193
Flat Duplex Ipanema All Service Luxo Com Serviços,Serviced apartment,Entire home/apt,2.0,4,Real Bed,2.0,4,1124,moderate,601.0,2000.0,400.0,50,4,"Rio de Janeiro, Rio de Janeiro, Brazil",Ipanema,Lagoa,BR,Rio De Janeiro,-22.97874838432402,-43.20396556253349,95597326,Veronica,"Rio de Janeiro, State of Rio de Janeiro, Brazil",Ipanema,yes,no,100.0,0,0,0,0,10,10,10,9,10,8,90,988
Peaceful hometown with perfect sea and forest view,Apartment,Entire home/apt,4.0,4,Real Bed,3.0,4,365,moderate,501.0,800.0,200.0,0,1,"Bakırköy, İstanbul, Turkey",,Bakirkoy,TR,Istanbul,40.97867,28.78406,35603489,Emel,İstanbul,-,no,no,100.0,15,24,47,123,10,10,10,10,9,10,98,4239
The Porto Concierge - Green Building - 1E,Apartment,Entire home/apt,0.0,1,Real Bed,1.0,2,1125,flexible,55.0,0.0,15.0,10,2,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",PT,Porto,41.14922,-8.60874,125050921,Isidro,PT,-,no,no,100.0,12,36,66,341,8,8,8,9,10,8,79,10459
PRIVATE ROOM:Oasis of peace near Downtown Montreal,Apartment,Private room,1.0,2,Real Bed,1.0,2,15,flexible,40.0,0.0,0.0,15,2,"Montréal, Québec, Canada",Gay Village,Ville-Marie,CA,Montreal,45.52811,-73.54921,48631306,Noémie,"Montreal, Québec, Canada",Ville-Marie,no,no,0.0,0,0,0,0,10,10,10,10,9,10,100,5768
Warehouse style studio,Guest suite,Entire home/apt,1.0,1,Real Bed,1.0,2,1126,flexible,151.0,0.0,50.0,50,2,"Avalon Beach, NSW, Australia",Avalon,Pittwater,AU,Sydney,-33.6212,151.32068,59830753,Ian,"Avalon Beach, New South Wales, Australia",-,yes,no,88.0,27,54,84,359,10,10,10,10,10,10,100,3089
New Renovated Private 1 bed/bath in Prime Location,Apartment,Private room,1.0,1,Real Bed,1.0,1,6,flexible,150.0,0.0,0.0,0,1,"New York, NY, United States",Upper East Side,Upper East Side,US,New York,40.78071,-73.95149,54098346,Eric,"New York, New York, United States",Upper East Side,no,no,0.0,0,0,0,0,9,10,10,10,10,10,100,887
Room  in Taksim/Pera very Close to İstiklal Str.,Apartment,Private room,1.0,1,Real Bed,1.0,2,360,strict_14_with_grace_period,53.0,0.0,50.0,40,1,"Beyoğlu, İstanbul, Turkey",Karaköy,Beyoglu,TR,Istanbul,41.03114,28.97237,125221509,Vural,"Istanbul, İstanbul, Turkey",Karaköy,no,yes,100.0,13,33,63,338,9,9,10,10,10,10,96,6270
Unit close to CBD available for Christmas & NYE!,Apartment,Entire home/apt,2.0,2,Real Bed,1.0,10,10,strict_14_with_grace_period,70.0,300.0,50.0,0,1,"Hurlstone Park, NSW, Australia",Hurlstone Park,Canterbury,AU,Sydney,-33.90947,151.13138,125253812,Angelina,AU,-,no,no,0.0,0,0,0,0,10,10,10,9,8,9,90,910
Cute Tiny Room Family Home by LGA NO CLEANING FEE,Townhouse,Private room,1.0,1,Real Bed,2.0,1,3,strict_14_with_grace_period,48.0,300.0,0.0,200,1,"Queens, NY, United States",Queens,East Elmhurst,US,New York,40.7638,-73.87238,26432133,Danielle,US,East Elmhurst,no,yes,100.0,19,19,19,236,10,10,10,10,10,10,99,122030
Papakea A108,Condominium,Entire home/apt,1.0,1,Real Bed,1.0,4,1125,super_strict_60,260.0,0.0,145.0,0,1,"Lahaina, HI, United States",Westside,Lahaina,US,Maui,20.95145,-156.68808,41751554,Tina,West Maui,Lahaina,yes,no,83.0,2,14,25,189,10,10,10,10,10,10,98,12681
bel appartement ensoleillé.,Apartment,Entire home/apt,2.0,2,Real Bed,1.0,4,20,flexible,50.0,0.0,0.0,8,1,"Montréal, Québec, Canada",Parc-Extension,Villeray-Saint-Michel-Parc-Extension,CA,Montreal,45.52577,-73.62719,9447429,Faustine,"Paris, Île-de-France, France",Parc-Extension,no,no,0.0,0,23,53,53,10,10,10,10,8,8,100,621
"Room in just-refurbished, classic brownstone flat.",Apartment,Private room,1.0,1,Real Bed,1.0,1,3,flexible,75.0,0.0,15.0,0,1,"Brooklyn, NY, United States",Brooklyn,Park Slope,US,New York,40.67213,-73.98141,125567809,Gene,US,Park Slope,no,no,0.0,0,0,0,0,not_available,not_available,not_available,not_available,not_available,not_available,not_available,2
Nice appartment in Ahuntsic Montreal,Apartment,Entire home/apt,1.0,1,Real Bed,1.0,2,1125,strict_14_with_grace_period,81.0,300.0,35.0,0,1,"Montréal, Québec, Canada",Ahuntsic-Cartierville,Ahuntsic-Cartierville,CA,Montreal,45.55369,-73.62827,125590898,Marc-Antoine,CA,Ahuntsic-Cartierville,yes,no,0.0,0,0,0,0,4,8,10,10,10,2,60,588
